Rank,Team/NOC,Gold Medal,Silver Medal,Bronze Medal,Total,NOCCode
1,Norway,14,14,11,39,NOR
2,Germany,14,10,7,31,GER
3,Canada,11,8,10,29,CAN
4,United States of America,9,8,6,23,USA
5,Netherlands,8,6,6,20,NED
6,Sweden,7,6,1,14,SWE
7,Republic of Korea,5,8,4,17,KOR
8,Switzerland,5,6,4,15,CHE
9,France,5,4,6,15,FRA
10,Austria,5,3,6,14,AUT
11,Japan,4,5,4,13,JPN
12,Italy,3,2,5,10,ITA
13,ROC,2,6,9,17,ROC
14,Czech Republic,2,2,3,7,CZE
15,Belarus,2,1,7,3,BLR
16,People's Republic of China,1,6,2,9,KOR
17,Slovakia,1,2,0,3,SVK
18,Finland,1,1,1,3,FIN
19,Great Britain,1,0,4,5,GBR
20,Poland,1,0,1,2,POL
21,Hungary,1,0,0,1,HUN
22,Ukraine,1,0,0,1,UKR
23,Australia,0,2,1,3,AUS
24,Slovenian,0,1,1,2,SVN
25,Belgium,0,1,0,1,BEL
26,New Zealand,0,0,2,2,NZL
27,Spain,0,0,2,2,ESP
28,Kazakhstan,0,0,1,1,KAZ
29,Latvia,0,0,1,1,LVA
30,Liechtenstein,0,0,1,1,LIE
